<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SANDP-500,D,20141124,000000,2063.5000000,2070.0900000,2063.5000000,2069.4100000,0
SANDP-500,D,20141125,000000,2069.4100000,2073.9700000,2064.8200000,2067.0300000,0
SANDP-500,D,20141126,000000,2067.0300000,2073.1100000,2066.7000000,2072.8300000,0
SANDP-500,D,20141127,000000,2072.8300000,2072.8300000,2072.8300000,2072.8300000,0
SANDP-500,D,20141128,000000,2072.8300000,2075.4300000,2065.1500000,2067.5600000,0
SANDP-500,D,20141201,000000,2067.5600000,2067.5600000,2049.8000000,2053.4400000,0
SANDP-500,D,20141202,000000,2053.4400000,2068.7200000,2053.4400000,2066.5500000,0
SANDP-500,D,20141203,000000,2066.5500000,2076.2500000,2066.5500000,2074.3300000,0
SANDP-500,D,20141204,000000,2074.3300000,2076.6500000,2062.4500000,2071.9200000,0
SANDP-500,D,20141205,000000,2071.9200000,2079.4200000,2071.1600000,2075.3700000,0
SANDP-500,D,20141208,000000,2075.3700000,2075.6900000,2054.4200000,2060.3100000,0
SANDP-500,D,20141209,000000,2060.3100000,2060.3100000,2034.4100000,2059.8200000,0
SANDP-500,D,20141210,000000,2059.8200000,2059.8200000,2024.7500000,2026.1400000,0
SANDP-500,D,20141211,000000,2026.1400000,2055.4000000,2026.1400000,2035.3300000,0
SANDP-500,D,20141212,000000,2035.3300000,2035.3300000,2002.3300000,2002.3300000,0
SANDP-500,D,20141215,000000,2002.3300000,2018.4700000,1982.6200000,1989.6300000,0
SANDP-500,D,20141216,000000,1989.6300000,2016.3800000,1972.7400000,1972.7400000,0
SANDP-500,D,20141217,000000,1972.7400000,2016.2100000,1972.7400000,2012.8900000,0
SANDP-500,D,20141218,000000,2012.8900000,2061.2300000,2012.8900000,2061.2300000,0
SANDP-500,D,20141219,000000,2061.2300000,2077.7200000,2061.0400000,2070.6500000,0
SANDP-500,D,20141222,000000,2070.6500000,2078.6700000,2069.2800000,2078.5400000,0
SANDP-500,D,20141223,000000,2078.5400000,2086.7300000,2078.5400000,2082.1700000,4150
SANDP-500,D,20141224,000000,2083.2500000,2087.5600000,2081.8800000,2081.8800000,2221
SANDP-500,D,20141226,000000,2084.3000000,2092.7000000,2084.3000000,2088.7700000,3841
SANDP-500,D,20141229,000000,2087.6300000,2093.5500000,2085.7500000,2090.5700000,4021
SANDP-500,D,20141230,000000,2088.4900000,2088.4900000,2079.5300000,2080.3500000,4039
SANDP-500,D,20141231,000000,2082.1100000,2085.5800000,2057.9400000,2058.9000000,4147
SANDP-500,D,20150102,000000,2058.9000000,2072.3600000,2046.2600000,2058.2000000,13892
SANDP-500,D,20150105,000000,2054.4400000,2054.4400000,2017.3400000,2020.5800000,17383
SANDP-500,D,20150106,000000,2022.1500000,2030.2500000,1992.4400000,2002.6100000,18442
SANDP-500,D,20150107,000000,2005.5500000,2029.6100000,2005.5500000,2025.9000000,16975
SANDP-500,D,20150108,000000,2030.6100000,2064.0800000,2030.6100000,2062.1400000,15584
SANDP-500,D,20150109,000000,2063.4500000,2064.4300000,2038.9300000,2044.8100000,12008
SANDP-500,D,20150112,000000,2046.1300000,2049.3000000,2022.5800000,2028.2600000,15851
SANDP-500,D,20150113,000000,2031.5800000,2056.9300000,2008.2500000,2023.0300000,17701
SANDP-500,D,20150114,000000,2018.4000000,2018.4000000,1988.4400000,2011.2700000,17524
SANDP-500,D,20150115,000000,2013.7500000,2021.3500000,1991.4700000,1992.6700000,17256
SANDP-500,D,20150116,000000,1992.2500000,2020.3800000,1988.1400000,2019.4200000,14803
SANDP-500,D,20150120,000000,2020.7600000,2028.9400000,2004.4900000,2022.5500000,16467
SANDP-500,D,20150121,000000,2020.1900000,2038.2900000,2012.0400000,2032.1200000,16408
SANDP-500,D,20150122,000000,2034.3000000,2064.6200000,2026.3800000,2063.1500000,16707
SANDP-500,D,20150123,000000,2062.9800000,2062.9800000,2050.5400000,2051.8200000,15113
SANDP-500,D,20150126,000000,2050.4200000,2057.6200000,2040.9700000,2057.0900000,14685
SANDP-500,D,20150127,000000,2047.8600000,2047.8600000,2019.9100000,2029.5500000,16566
SANDP-500,D,20150128,000000,2032.3400000,2042.4900000,2001.6400000,2002.1600000,16073
SANDP-500,D,20150129,000000,2002.4500000,2024.6400000,1989.1800000,2021.2500000,17683
SANDP-500,D,20150130,000000,2019.3500000,2023.3200000,1993.3800000,1994.9900000,18188
SANDP-500,D,20150202,000000,1996.6700000,2021.6600000,1980.9000000,2020.8500000,18405
SANDP-500,D,20150203,000000,2022.7100000,2050.3000000,2022.7100000,2050.0300000,17710
SANDP-500,D,20150204,000000,2048.8600000,2054.7400000,2036.7200000,2041.5100000,17377
SANDP-500,D,20150205,000000,2043.4500000,2063.5500000,2043.4500000,2062.5200000,15886
SANDP-500,D,20150206,000000,2062.2800000,2072.4000000,2049.9700000,2055.4700000,16774
SANDP-500,D,20150209,000000,2053.4700000,2056.1600000,2041.8800000,2046.7400000,15808
SANDP-500,D,20150210,000000,2049.3800000,2070.8600000,2048.6200000,2068.5900000,15647
SANDP-500,D,20150211,000000,2068.5500000,2073.4800000,2057.9900000,2068.5300000,16237
SANDP-500,D,20150212,000000,2069.9800000,2088.5300000,2069.9800000,2088.4800000,15815
SANDP-500,D,20150213,000000,2088.7800000,2097.0300000,2086.7000000,2096.9900000,14969
SANDP-500,D,20150217,000000,2096.4700000,2101.3000000,2089.8000000,2100.3400000,14912
SANDP-500,D,20150218,000000,2099.1600000,2100.2300000,2092.1500000,2099.6800000,14400
SANDP-500,D,20150219,000000,2099.2500000,2102.1300000,2090.7900000,2097.4500000,14144
SANDP-500,D,20150220,000000,2097.6500000,2110.6000000,2085.4400000,2110.3000000,12858
SANDP-500,D,20150223,000000,2109.8300000,2110.0500000,2103.0000000,2109.6600000,14041
SANDP-500,D,20150224,000000,2109.1000000,2117.9400000,2105.8700000,2115.4800000,14481
SANDP-500,D,20150225,000000,2115.3000000,2119.5900000,2109.9000000,2113.8600000,14564
SANDP-500,D,20150226,000000,2113.9100000,2113.9100000,2103.7600000,2110.7400000,15055
SANDP-500,D,20150227,000000,2110.8800000,2112.7400000,2103.7500000,2104.5100000,13749
SANDP-500,D,20150302,000000,2105.2300000,2117.5200000,2104.5000000,2117.3900000,13174
SANDP-500,D,20150303,000000,2115.7600000,2115.7600000,2098.2600000,2107.7800000,14131
